feature,importance
tool_activity_score,0.04692546850120609
feature_adoption_score,0.04421050048638453
roadmap_alignment_score,0.027509922892200774
renewal_intent_positive,0.02700943512973527
avg_unresolved_feedback_age_days,0.02371292041246967
usage_change_vs_prev_quarter,0.022586819101083132
renewal_due_days,0.01949529661836708
avg_resolution_days,0.01947909976974509
sentiment_support,0.019400321564844548
feedback_sentiment_score,0.019141355434796385
tenure_months,0.018319160794419496
csat_support,0.017613262429244696
avg_bug_resolution_days,0.017437600510362385
bug_sentiment_score,0.016414952790052506
sentiment_csm,0.01633375411095457
arr,0.016232550293204157
results_per_report_usage_pct,0.01586390288400507
keyword_metric_updates_usage_pct,0.015573458549850011
results_per_report_used,0.015312632821158011
site_audit_health_score_avg,0.015207888695483394
crawl_budget_usage_pct,0.01520478098725065
login_count_30d,0.014845705714974382
mrr,0.014617595868141589
keyword_metric_updates_used,0.014245463554003118
keyword_tracking_usage_pct,0.013911005156058255
pages_crawled_month,0.013368842332698099
days_since_last_login,0.013031052930113118
websites_usage_pct,0.0128855693781638
keywords_tracked,0.01245857372902166
keyword_magic_queries_30d,0.012428338637911226
key_reports_used_30d,0.01190725634942061
position_tracking_keywords_active,0.011901224353012189
ai_visibility_query_usage_pct,0.011131063742992522
ai_visibility_daily_queries_used,0.010990828963111684
site_audit_last_run_days,0.010544100659875585
ai_visibility_prompt_usage_pct,0.010350056933022952
ai_visibility_score_tracked,0.010280611039229729
websites_monitored,0.01003518938255765
prompt_research_queries_used,0.009324160150496958
ai_visibility_prompts_tracked,0.009251342330107734
downgrade_risk_flag,0.008819442582583886
number_of_users,0.008581189972675114
pricing_objection_flag,0.008364972359232085
active_users_30d,0.008320182533980503
backlink_reports_used_30d,0.008232317018815789
oldest_open_bug_days,0.008147994120812931
my_reports_used_30d,0.008136397888455525
unresolved_feedback_count,0.008059509025557321
ai_search_checks_used,0.007922333147978789
competitor_gap_reports_used_30d,0.007533191177524503
content_toolkit_active,0.007225093334170822
emails_with_csm_30d,0.007146618829503653
site_audit_projects_active,0.006901504229228419
position_tracking_campaigns_active,0.006711156981422886
success_plan_active,0.006593220991849898
feedback_count_90d,0.006465546541607646
tickets_last_quarter,0.006246382328187095
renewal_intent_neutral,0.006032246108162314
csm_meetings_last_quarter,0.005606069587225184
site_audit_blocking_issues_count,0.005516189803598842
keyword_metric_updates_limit,0.0054891061532487155
technical_tickets_last_quarter,0.004934040054088415
strategic_review_done,0.0047983593335709784
feature_requests_count_90d,0.004471763770156982
competitor_ai_visibility_reports_used,0.004433286787455184
ai_visibility_exports_usage_pct,0.0042737166939458
data_recalculation_requests_90d,0.004250358944588768
bugs_reported_90d,0.004148713277394958
ai_visibility_exports_used,0.004091789256051817
tool_limit_feedback_count,0.0040415996249928855
subscription_status_grace_period,0.004007792719850625
brand_performance_reports_used,0.0038572151059802396
in_grace_period,0.003688645504362132
billing_tickets_last_quarter,0.0036107635883760774
critical_feedback_count_90d,0.0035692313052898468
workaround_available_flag,0.0035305506818693972
subscription_status_downgrade_discussion,0.003391616009178568
ai_visibility_prompt_limit,0.0031570531356509587
renewed_last_quarter,0.0030131988060473425
open_bugs_count,0.0029520586568510757
average_local_rating,0.0028351988334518125
feedback_linked_to_renewal,0.00253251262472646
region_EMEA,0.0025167896363300288
subscription_type_monthly,0.002508139513971733
